ID,SeparationType,Cease Date,DETE Start Date,Role Start Date,Position,Classification,Region,Business Unit,Employment Status,Career move to public sector,Career move to private sector,Interpersonal conflicts,Job dissatisfaction,Dissatisfaction with the department,Physical work environment,Lack of recognition,Lack of job security,Work location,Employment conditions,Maternity/family,Relocation,Study/Travel,Ill Health,Traumatic incident,Work life balance,Workload,None of the above,Professional Development,Opportunities for promotion,Staff morale,Workplace issue,Physical environment,Worklife balance,Stress and pressure support,Performance of supervisor,Peer support,Initiative,Skills,Coach,Career Aspirations,Feedback,Further PD,Communication,My say,Information,Kept informed,Wellness programs,Health & Safety,Gender,Age,Aboriginal,Torres Strait,South Sea,Disability,NESB,dissatisfied
631,Age Retirement,12/2013,2007,2007,Cleaner,,Darling Downs South West,,Permanent Full-time,False,False,False,0,0,0,0,False,False,0,False,False,True,True,False,0,0,False,A,1,1,1,A,A,N,A,N,A,A,A,A,A,A,N,A,A,A,SA,SA,Female,61 or older,,,,,,1
632,Resignation-Other reasons,08/2013,2006,2008,Teacher Aide,,South East,,Permanent Part-time,False,False,False,0,0,0,0,False,False,0,False,False,False,True,False,0,0,False,SD,0,1,0,SD,SD,N,SD,SD,SD,SD,N,SD,SA,N,SD,SD,SD,N,SD,D,Male,41-45,,,,Yes,,1
633,Contract Expired,08/2013,2012,2013,Teacher Aide,,Darling Downs South West,,Temporary Part-time,False,False,False,0,0,0,0,False,False,0,False,False,False,False,False,0,0,True,A,0,0,1,SA,SA,A,SA,SA,SA,A,N,N,SA,SA,SA,A,SA,A,A,SA,Female,61 or older,,,,,,1
634,Ill Health Retirement,06/2013,1991,1991,Cleaner,,North Coast,,Permanent Part-time,False,False,False,0,0,0,0,False,False,0,False,False,False,True,False,0,0,False,A,0,1,1,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,Female,56-60,,,,,,1
635,Age Retirement,08/2013,1982,1982,Cleaner,,Far North Queensland,,Permanent Part-time,False,False,False,0,0,0,0,False,False,0,False,False,False,False,False,0,0,True,SA,0,0,0,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,Female,61 or older,,,,,,0
636,Age Retirement,08/2013,1976,1979,Teacher,Primary,North Coast,,Permanent Full-time,False,False,False,0,0,0,0,False,False,0,False,False,False,False,True,0,0,False,N,1,1,1,A,D,D,D,SA,N,A,A,N,N,N,N,D,N,N,,N,Female,51-55,,,,,,1
637,Age Retirement,01/2014,2000,2000,Cleaner,,Far North Queensland,,Permanent Part-time,False,False,False,0,0,0,0,False,False,0,False,False,False,False,False,0,0,False,A,0,1,1,A,A,A,A,A,A,A,A,,A,,A,A,A,A,A,A,Female,61 or older,,,,,,1
638,Resignation-Other reasons,09/2013,2013,2013,Teacher Aide,,Darling Downs South West,,Casual,False,False,False,0,0,0,0,False,False,0,False,False,True,False,False,0,0,False,SA,1,0,0,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,N,N,Female,36-40,,,,,,1
639,Age Retirement,07/2014,1972,1972,Teacher,Secondary,Central Office,Education Queensland,Permanent Part-time,False,False,False,0,0,0,0,False,False,0,False,False,False,False,False,0,0,False,A,0,1,1,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,N,N,Male,61 or older,,,,,,1
640,Age Retirement,09/2013,1973,2004,Deputy Principal,,Metropolitan,,Permanent Full-time,False,False,False,0,0,0,0,False,False,0,False,False,False,False,False,0,0,True,A,0,1,1,A,A,A,A,A,A,A,A,SA,SA,SA,SA,SA,SA,SA,SA,SA,Female,56-60,,,,,,1
641,Other,08/2013,2007,2007,Teacher Aide,,North Coast,,Permanent Part-time,False,False,False,0,0,0,0,False,False,0,False,False,False,True,False,0,0,False,A,1,1,1,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,Female,41-45,,,,,,1
642,Resignation-Move overseas/interstate,09/2013,2010,2010,"School Based Professional Staff (Therapist, nurse, etc)",,North Coast,,Permanent Part-time,False,False,False,0,0,0,0,False,False,0,False,True,False,False,False,0,0,False,A,0,1,0,A,A,A,A,SA,SA,N,A,A,A,A,A,A,A,A,N,,Female,36-40,,,,,,1
643,Resignation-Move overseas/interstate,09/2013,2010,2010,Teacher Aide,,Metropolitan,,Permanent Part-time,False,False,False,0,0,0,0,False,False,0,False,True,False,False,False,0,0,False,SA,0,0,0,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,Female,31-35,,,,,Yes,0
644,Voluntary Early Retirement (VER),08/2013,1982,2009,Teacher,Secondary,Far North Queensland,,Permanent Full-time,False,False,False,0,0,0,0,False,False,0,False,False,False,True,False,0,0,False,A,0,1,1,SA,SA,A,A,SA,A,SA,,D,D,D,SA,SA,SA,SA,A,A,Female,56-60,,Yes,,,,1
645,Voluntary Early Retirement (VER),10/2013,1976,2008,Teacher,Special Education,Darling Downs South West,,Permanent Part-time,False,False,False,0,0,0,0,False,False,0,False,False,False,False,False,0,0,False,N,0,1,1,A,A,N,A,A,SA,SA,A,N,N,N,A,A,N,A,N,N,Female,56-60,,,,,,1
646,Age Retirement,12/2013,1993,1993,Cleaner,,Not Stated,,Permanent Full-time,False,False,False,0,0,0,0,False,False,0,False,False,False,False,False,0,0,True,A,0,1,1,A,A,A,A,A,A,A,M,A,A,A,A,A,A,A,N,A,Female,61 or older,,,,,,1
647,Age Retirement,09/2013,1981,1997,Public Servant,AO5-AO7,Central Office,Corporate Strategy and Peformance,Permanent Full-time,False,False,False,0,0,0,0,False,False,0,False,False,False,False,False,0,0,False,SD,0,1,1,A,A,A,SD,A,N,A,A,SD,SD,SD,D,N,A,D,,,Male,51-55,,,,Yes,,1
648,Resignation-Other reasons,09/2013,1992,1997,Technical Officer,,Darling Downs South West,,Permanent Full-time,False,False,False,0,0,0,0,False,False,0,False,False,False,True,False,0,0,False,SD,0,1,1,N,A,N,A,A,SA,SA,SA,A,A,SD,D,N,D,SD,N,N,Female,51-55,,,,,,1
649,Other,10/2013,2010,2010,Cleaner,,Not Stated,,Permanent Part-time,False,True,False,0,0,0,0,False,False,0,False,False,False,False,False,0,0,True,SA,0,0,0,SA,SA,SA,SA,SA,M,SA,M,M,SA,M,SA,SA,SA,SA,SA,SA,Female,51-55,,,,,,0
650,Resignation-Other employer,09/2013,1995,2008,Teacher Aide,,South East,,Permanent Full-time,False,True,False,0,0,0,0,False,False,0,False,False,False,False,False,0,0,False,N,0,1,1,A,N,N,A,A,A,A,A,,A,A,A,A,A,A,A,A,Female,51-55,,,,,,1
651,Resignation-Other employer,10/2013,1996,2003,Head of Curriculum/Head of Special Education,,North Coast,,Permanent Full-time,False,True,True,0,0,0,0,False,True,0,False,False,False,False,False,0,0,False,A,0,1,0,SD,D,SD,SD,A,D,SD,A,D,A,A,SD,D,A,N,A,A,Female,61 or older,,,,,,1
652,Resignation-Other reasons,09/2013,2010,2012,Teacher,Primary,Central Queensland,,Permanent Full-time,False,False,False,0,0,0,0,False,False,0,False,False,False,False,False,0,0,False,A,0,1,1,A,D,D,N,A,A,A,A,A,SA,SA,N,A,N,A,D,D,Female,51-55,,,,,,1
653,Resignation-Move overseas/interstate,08/2013,1986,1993,Head of Curriculum/Head of Special Education,,South East,,Permanent Full-time,False,False,False,0,0,0,0,False,False,0,True,True,False,False,False,0,0,False,SA,0,0,0,SA,A,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,Female,61 or older,,,,,Yes,0
654,Age Retirement,09/2013,1970,2013,Teacher,,Central Office,Early Childhood Education and Care,Permanent Full-time,False,False,False,0,0,0,0,False,False,0,False,False,False,True,False,0,0,False,D,0,1,1,A,D,A,D,A,A,A,A,A,A,A,D,A,A,D,A,A,Female,56-60,,,,,,1
655,Age Retirement,01/2014,1974,1995,Teacher,Special Education,Darling Downs South West,,Permanent Part-time,False,False,False,0,0,0,0,False,False,0,False,False,False,False,False,0,0,False,SA,1,1,1,N,A,N,A,A,A,A,A,N,N,A,A,A,A,A,A,A,Female,56-60,,,,,,1
656,Age Retirement,09/2013,1970,1994,School Principal,,South East,,Permanent Full-time,False,False,False,0,0,0,0,False,False,0,False,False,False,True,True,0,0,False,A,0,1,1,A,D,D,A,A,A,D,A,D,D,D,A,A,D,D,A,A,Male,56-60,,,,,,1
657,Other,10/2013,2011,2011,Teacher Aide,,Not Stated,,Temporary Part-time,False,False,False,0,0,0,0,False,False,0,True,False,False,False,False,0,0,False,N,0,0,0,SA,A,A,A,A,N,N,N,N,A,D,A,A,A,A,D,N,Female,26-30,,,,,,0
658,Age Retirement,10/2013,1978,1978,Teacher,Primary,Metropolitan,,Permanent Part-time,False,False,False,0,0,0,0,False,False,0,True,False,False,True,False,0,0,False,A,1,1,1,A,A,A,A,SA,A,A,A,D,A,A,SA,A,A,A,A,A,Female,51-55,,,,,,1
659,Resignation-Move overseas/interstate,09/2013,1971,2002,Teacher,Secondary,Metropolitan,,Temporary Full-time,False,False,False,0,0,0,0,False,False,0,False,True,False,False,False,0,0,False,A,0,0,1,A,A,A,SA,A,SA,A,A,N,A,A,A,A,A,A,A,A,,61 or older,,,,,,1
660,Resignation-Other reasons,08/2013,1998,Not Stated,Teacher Aide,Primary,Not Stated,,Permanent Full-time,False,False,False,0,0,0,0,False,False,0,False,False,False,False,False,0,0,False,SA,1,1,0,A,SA,A,N,SA,SA,SA,N,N,N,SA,N,A,A,SA,N,A,Female,41-45,Yes,,,,,1
661,Age Retirement,09/2013,Not Stated,Not Stated,Cleaner,,Metropolitan,,Permanent Part-time,False,False,False,0,0,0,0,False,False,0,False,False,False,False,False,0,0,True,A,0,0,1,A,N,A,A,A,A,A,,,A,N,A,A,A,A,,A,Male,61 or older,,,,,,1
662,Age Retirement,01/2014,1970,2010,Teacher,Secondary,Metropolitan,,Permanent Part-time,False,False,False,0,0,0,0,False,False,0,False,False,False,False,False,0,0,True,A,0,1,1,N,N,A,SA,SA,SA,SA,A,,A,A,A,SA,A,A,N,N,Male,61 or older,,,,,,1
663,Resignation-Other reasons,09/2013,Not Stated,Not Stated,Teacher,Primary,Central Queensland,,Permanent Part-time,False,False,False,0,0,0,0,False,False,0,True,False,False,False,False,0,0,False,SA,0,1,1,SA,A,A,A,A,A,D,D,A,N,A,SA,SA,SA,SA,A,SA,Female,46-50,,,,,,1
665,Voluntary Early Retirement (VER),06/2013,1969,Not Stated,Public Servant,A01-A04,South East,,Permanent Part-time,False,False,False,0,0,0,0,False,False,0,False,False,True,False,False,0,0,False,A,1,1,1,N,D,N,N,SA,A,SA,A,A,SA,A,A,SA,SA,A,A,A,Female,61 or older,,,,,,1
666,Resignation-Other employer,01/2014,1999,2013,Head of Curriculum/Head of Special Education,,North Coast,,Permanent Full-time,True,False,False,0,0,0,0,False,False,0,False,False,True,False,False,0,0,False,A,0,1,0,A,A,A,SA,A,SA,SA,A,SA,SA,A,A,SA,A,A,N,A,Male,46-50,,,,,,1
667,Age Retirement,07/2014,1991,2001,Teacher,Special Education,Darling Downs South West,,Permanent Full-time,False,False,False,0,0,0,0,False,False,0,False,False,True,False,False,0,0,False,SA,0,0,0,A,A,SD,SD,SD,A,A,SD,A,,SD,A,SD,A,A,SD,SD,Female,,,,,,,0
668,Resignation-Other employer,01/2014,2012,2013,Public Servant,A01-A04,Central Office,Information and Technologies,Temporary Full-time,False,True,False,0,0,0,0,False,False,0,False,False,False,False,False,0,0,False,N,0,1,0,N,A,A,A,SA,A,A,A,A,A,A,A,A,A,A,N,N,Male,21-25,,,,,,1
669,Resignation-Other reasons,12/2013,2011,2011,Teacher Aide,,South East,,Permanent Part-time,False,False,False,0,0,0,0,False,False,0,False,True,False,False,False,0,0,False,A,1,1,1,A,A,A,A,A,A,N,N,A,A,A,D,M,A,A,D,A,Female,41-45,,,,,,1
670,Age Retirement,01/2014,1983,2002,Guidance Officer,,South East,,Permanent Full-time,False,False,False,0,0,0,0,False,False,0,False,False,False,False,False,0,0,True,SA,0,1,1,N,A,A,A,SA,SA,SA,SA,A,N,A,A,SA,SA,SA,A,A,,61 or older,,,,,,1
671,Resignation-Move overseas/interstate,12/2013,2013,2013,"School Based Professional Staff (Therapist, nurse, etc)",,Metropolitan,,Temporary Full-time,False,True,False,0,0,0,0,False,False,0,False,False,False,False,False,0,0,False,A,1,1,1,A,SA,SA,A,A,SA,SD,A,SD,D,SD,A,SA,N,A,N,A,Female,26-30,,,,,,1
672,Resignation-Move overseas/interstate,12/2013,2013,2013,"School Based Professional Staff (Therapist, nurse, etc)",,Metropolitan,,Temporary Full-time,False,False,False,0,0,0,0,False,False,0,False,False,True,False,False,0,0,False,N,1,1,1,A,A,A,A,N,A,N,N,A,N,A,A,A,A,A,N,N,Female,21-25,,,,,,1
673,Resignation-Other employer,12/2013,2009,2009,Teacher,Primary,North Coast,,Permanent Full-time,False,True,False,0,0,0,0,False,False,0,False,False,False,False,False,0,0,False,SA,0,0,0,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,A,SA,Female,41-45,,,,,,0
674,Age Retirement,01/2014,1969,2001,Teacher,Primary,North Coast,,Permanent Full-time,False,False,False,0,0,0,0,False,True,0,False,False,False,False,False,0,0,False,N,1,1,1,A,D,D,D,N,A,N,SD,SD,SD,N,N,D,N,N,M,M,Female,61 or older,,,,,,1
675,Contract Expired,12/2013,2012,2013,School Administrative Staff,,Metropolitan,,Temporary Part-time,False,False,False,0,0,0,0,False,False,0,False,False,False,False,False,0,0,True,A,0,1,1,A,A,A,A,SA,A,A,M,,N,A,,,N,N,,A,Female,56-60,,,,,,1
676,Age Retirement,11/2013,1991,1998,Cleaner,,North Coast,,Permanent Full-time,False,False,False,0,0,0,0,False,False,0,False,False,False,True,False,0,0,False,SA,0,1,1,A,A,A,A,SD,N,A,,,A,,D,A,A,A,,A,Female,51-55,,,,,,1
677,Voluntary Early Retirement (VER),09/2013,1988,1988,Public Servant,AO8 and Above,Central Office,Education Queensland,Permanent Part-time,False,False,False,0,0,0,0,False,False,0,False,False,False,False,False,0,0,True,A,0,1,1,A,A,A,A,A,A,A,D,D,A,D,A,A,A,A,D,A,Female,61 or older,,,,,,1
678,Resignation-Other employer,01/2014,2010,2011,Teacher,Secondary,Far North Queensland,,Permanent Full-time,False,True,False,0,0,0,0,False,False,0,False,False,False,False,False,0,0,False,SA,0,1,1,A,D,SD,D,A,SA,A,A,SA,A,SA,SD,SD,A,D,D,A,Female,26-30,,,,,,1
679,Ill Health Retirement,12/2013,1991,1991,Teacher,Secondary,Metropolitan,,Permanent Part-time,False,False,False,0,0,0,0,False,False,0,False,False,False,True,False,0,0,False,A,0,1,1,N,D,A,SD,A,A,SD,N,A,A,SA,A,SA,SA,SA,A,A,Female,56-60,,,,,,1
680,Resignation-Move overseas/interstate,12/2013,2012,2012,,,Central Queensland,,Casual,False,False,False,0,0,0,0,False,False,0,False,True,False,False,False,0,0,False,A,0,1,1,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,Female,36-40,,,,,,1
681,Age Retirement,12/2013,2001,2001,Cleaner,,Metropolitan,,Permanent Part-time,False,False,False,0,0,0,0,False,False,0,False,False,False,False,False,0,0,False,A,0,1,1,A,A,A,A,A,,,A,,A,,A,A,A,A,,A,Female,61 or older,,,,,,1
682,Contract Expired,12/2013,2013,2013,Public Servant,A01-A04,Central Office,Other,Temporary Part-time,False,False,False,0,0,0,0,False,False,0,False,False,False,False,False,0,0,False,M,0,1,1,A,SA,A,SA,SA,A,A,D,A,A,A,A,A,A,A,A,A,Female,21-25,Yes,Yes,Yes,,,1
683,Age Retirement,04/2014,1978,1994,Teacher,,Darling Downs South West,,Permanent Part-time,False,False,False,0,0,0,0,False,False,0,False,False,False,True,False,0,0,False,A,0,1,1,D,A,A,N,A,N,A,SA,N,A,SA,SA,N,D,A,D,A,Female,51-55,,,,,,1
684,Resignation-Other employer,11/2013,1988,1991,Teacher,Secondary,North Coast,,Permanent Full-time,False,False,False,0,0,0,0,False,False,0,False,False,False,False,False,0,0,False,N,1,1,1,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,,46-50,,,,,,1
685,Resignation-Other employer,Not Stated,2011,2012,Teacher,Primary,Central Queensland,,Permanent Full-time,False,True,False,0,0,0,0,False,True,0,False,False,False,False,False,0,0,False,N,1,1,1,SA,N,D,N,SA,A,A,N,A,N,N,D,N,N,N,N,N,Male,21-25,,,,,,1
686,Resignation-Other employer,11/2013,2004,2004,Schools Officer,,South East,,Permanent Full-time,False,False,True,0,0,0,0,False,False,0,False,False,False,False,True,0,0,False,N,0,0,0,A,D,N,SD,A,N,N,SD,N,D,SD,N,N,N,SD,D,D,Female,46-50,,,,,,0
687,Resignation-Other employer,01/2014,1985,2010,Public Servant,AO8 and Above,Central Office,Corporate Strategy and Peformance,Permanent Full-time,False,False,False,0,0,0,0,False,False,0,False,False,False,False,False,0,0,False,A,0,1,0,A,A,SA,SA,A,SA,SA,,SA,SA,SA,A,SA,SA,A,SA,SA,Male,56-60,,,,,,1
688,Ill Health Retirement,12/2013,Not Stated,Not Stated,Teacher,Primary,South East,,Permanent Part-time,False,False,False,0,0,0,0,False,False,0,False,False,False,True,False,0,0,False,SA,0,1,0,SA,A,A,SA,A,A,A,N,A,A,A,A,A,A,A,A,N,Female,56-60,,,,Yes,,1
689,Resignation-Other reasons,11/2013,2013,2013,Teacher Aide,,Darling Downs South West,,Permanent Part-time,True,False,False,0,0,0,0,False,False,0,False,False,False,False,False,0,0,False,A,1,1,1,A,A,A,A,A,A,A,A,N,N,N,A,A,A,A,A,N,Female,46-50,,,,,,1
690,Age Retirement,12/2013,2002,2002,Other,,South East,,Permanent Full-time,False,False,False,0,0,0,0,False,False,0,False,False,False,False,False,0,0,False,SA,1,1,1,A,A,SA,SA,SA,SA,SA,SA,D,D,A,A,SA,SA,SA,SD,A,Female,61 or older,,,,,,1
691,Age Retirement,Not Stated,1975,1975,Teacher,Secondary,Metropolitan,,Permanent Part-time,False,False,False,0,0,0,0,False,False,0,False,False,False,False,False,0,0,False,SA,0,1,0,A,N,N,SA,A,N,A,A,A,A,A,SA,SA,SA,A,A,A,Female,56-60,,,,,,1
692,Resignation-Move overseas/interstate,01/2014,2004,2004,Teacher,Secondary,South East,,Permanent Full-time,False,True,False,0,0,0,0,False,False,0,False,True,True,False,False,0,0,False,A,0,1,1,A,A,D,N,N,A,A,A,A,A,A,A,A,A,A,A,A,Female,31-35,,,,,,1
693,Resignation-Other employer,01/2014,1998,2013,Teacher,,Darling Downs South West,,Permanent Full-time,False,True,False,0,0,0,0,False,False,0,False,False,False,False,False,0,0,False,SA,0,1,1,A,N,N,N,A,A,A,A,SA,SA,SA,A,SA,SA,SA,N,A,Female,36-40,,,,,,1
694,Resignation-Other reasons,12/2013,2012,2012,Teacher,Secondary,North Queensland,,Permanent Part-time,False,False,False,0,0,0,0,False,False,0,False,True,False,False,False,0,0,False,A,1,0,1,A,A,N,A,A,N,D,D,D,D,D,A,N,A,A,N,A,Female,21-25,,,,,,1
695,Resignation-Move overseas/interstate,01/2014,2010,2010,Teacher,Secondary,South East,,Permanent Full-time,False,False,False,0,0,0,0,False,False,0,False,True,False,False,False,0,0,False,SA,0,1,1,N,D,D,A,A,A,A,A,A,A,A,N,N,N,A,SD,N,Male,41-45,,,,,,1
696,Resignation-Other reasons,Not Stated,2012,Not Stated,Teacher Aide,,Metropolitan,,Casual,False,False,False,0,0,0,0,False,False,0,True,False,False,False,False,0,0,False,,0,0,0,,,,,,,,,,,,,,,,,,Female,46-50,,,,,,0
697,Age Retirement,10/2013,2011,2011,Teacher,Primary,South East,,Permanent Part-time,False,False,False,0,0,0,0,False,False,0,False,False,False,False,False,0,0,False,A,1,1,1,A,SA,A,SA,D,SA,SA,N,SA,SA,SA,SA,SA,SA,SA,A,A,Male,61 or older,,,,,,1
698,Resignation-Move overseas/interstate,10/2013,2008,2008,Teacher Aide,,Darling Downs South West,,Permanent Full-time,False,False,False,0,0,0,0,False,False,0,False,False,False,False,False,0,0,False,SA,0,0,0,A,A,SA,A,SA,A,A,SA,SA,A,SA,SA,SA,A,A,A,A,Male,26-30,Yes,,,,,0
699,Age Retirement,10/2013,1974,1989,School Administrative Staff,,North Coast,,Permanent Full-time,False,False,False,0,0,0,0,False,False,0,False,False,False,False,False,0,0,False,SA,0,1,1,N,D,N,N,SA,N,N,D,N,D,A,D,N,N,D,N,A,Female,51-55,,,,,,1
700,Resignation-Other reasons,11/2013,2010,2010,Cleaner,,Central Queensland,,Permanent Part-time,False,False,False,0,0,0,0,False,False,0,False,False,False,False,False,0,0,False,SA,0,1,1,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,A,A,Female,41-45,,,,,,1
701,Age Retirement,Not Stated,2006,2006,Schools Officer,,Metropolitan,,Permanent Full-time,False,False,False,0,0,0,0,False,False,0,False,False,False,False,False,0,0,False,A,0,1,1,A,A,N,N,N,N,N,N,D,D,D,N,N,N,N,D,D,Male,61 or older,,,,,,1
702,Resignation-Other employer,11/2013,2007,2013,Other,,Central Office,Information and Technologies,Casual,True,False,False,0,0,0,0,False,False,0,False,False,False,False,False,0,0,False,N,0,1,1,SA,SA,SA,SA,SA,A,D,N,SA,SA,A,SA,SA,SA,SA,SA,,Male,21-25,,,,,,1
703,Resignation-Other reasons,08/2013,1988,1988,Teacher,Primary,Central Queensland,,Permanent Part-time,False,True,False,0,0,0,0,False,False,0,False,False,False,False,False,0,0,False,A,0,1,1,A,A,A,D,SA,SA,SA,A,A,A,A,A,A,A,A,D,A,Female,46-50,,,,,,1
704,Other,09/2013,1998,2006,Cleaner,,Far North Queensland,,Permanent Part-time,False,False,False,0,0,0,0,False,False,0,False,False,False,False,False,0,0,False,A,1,0,0,A,SA,SA,SA,SA,SA,SA,SA,N,N,N,SA,SA,A,A,SA,SA,Female,56-60,,,,,,1
705,Resignation-Move overseas/interstate,10/2013,2013,2013,Public Servant,A01-A04,Central Office,"Policy, Research, Legislation",Permanent Full-time,False,False,True,0,0,0,0,False,False,0,False,False,False,False,False,0,0,False,SD,0,0,0,A,A,D,D,SD,A,A,,,,,SD,D,SD,SD,,,Female,51-55,,,,,,0
706,Resignation-Other reasons,Not Stated,2006,2007,Teacher Aide,,Darling Downs South West,,Permanent Full-time,False,False,False,0,0,0,0,False,False,0,False,True,True,False,False,0,0,False,SA,1,1,0,SA,SA,SA,SA,A,SA,A,A,A,A,SA,SA,SA,A,A,A,A,Female,41-45,,,,,,1
707,Age Retirement,11/2013,1984,Not Stated,Teacher Aide,,Metropolitan,,Permanent Part-time,False,False,False,0,0,0,0,False,False,0,False,False,False,False,False,0,0,False,A,0,1,1,A,A,A,A,A,A,A,M,M,M,M,A,A,A,A,A,A,Female,61 or older,,,,,,1
708,Age Retirement,12/2013,1976,1976,Teacher Aide,,Metropolitan,,Permanent Part-time,False,False,False,0,0,0,0,False,False,0,False,False,False,False,False,0,0,False,A,0,1,1,A,SA,A,A,A,A,SA,A,A,A,A,A,A,A,A,A,A,Female,61 or older,,,,,,1
709,Ill Health Retirement,11/2013,2007,2008,Other,,Central Office,Education Queensland,Permanent Part-time,False,False,False,0,0,0,0,False,False,0,False,False,False,True,False,0,0,False,SA,0,1,1,A,SA,SA,SA,SA,SA,SA,A,SA,SA,A,A,A,A,SA,SA,SA,Female,41-45,,,,,Yes,1
710,Ill Health Retirement,Not Stated,Not Stated,Not Stated,Cleaner,,Far North Queensland,,Permanent Full-time,False,False,False,0,0,0,0,False,False,0,False,False,False,True,False,0,0,False,A,0,1,1,A,A,,A,A,A,A,A,,A,,A,A,A,A,,A,Female,,Yes,,,,,1
711,Resignation-Other employer,Not Stated,Not Stated,Not Stated,Teacher,Primary,Central Office,Education Queensland,Permanent Full-time,False,True,False,0,0,0,0,False,False,0,False,False,False,False,False,0,0,False,A,0,1,1,SA,D,N,N,SA,SA,A,N,A,N,A,A,A,SA,A,N,A,Female,51-55,,,,,,1
712,Other,12/2013,1990,1990,Teacher Aide,,South East,,Permanent Full-time,False,False,False,0,0,0,0,False,False,0,True,False,True,False,False,0,0,False,SA,0,1,1,D,A,A,A,SA,N,A,D,D,N,D,D,D,N,D,A,N,Female,56-60,,,,,,1
713,Age Retirement,01/2014,1978,1978,Teacher,,Central Queensland,,Permanent Full-time,False,False,False,0,0,0,0,False,False,0,False,False,False,False,False,0,0,False,SA,1,1,0,SA,SA,SA,SA,SA,SA,SA,A,A,SA,N,SA,SA,SA,SA,N,N,Male,61 or older,,,,,,1
714,Resignation-Other reasons,12/2013,Not Stated,Not Stated,Teacher Aide,,Metropolitan,,Permanent Part-time,False,False,False,0,0,0,0,False,False,0,True,False,False,False,False,0,0,False,A,1,1,1,A,A,A,A,A,A,A,A,N,A,A,A,A,A,A,A,A,Female,61 or older,,,,,,1
715,Age Retirement,12/2013,1976,2001,Teacher,Special Education,Metropolitan,,Permanent Part-time,False,False,False,0,0,0,0,False,False,0,False,False,False,False,False,0,0,False,A,0,1,1,A,N,N,N,A,A,A,A,A,A,A,N,A,A,A,A,A,Female,56-60,,,,,,1
716,Age Retirement,11/2013,1979,1979,Teacher,Primary,South East,,Permanent Part-time,False,False,False,0,0,0,0,False,False,0,False,False,False,False,False,0,0,False,SA,0,1,0,A,A,SA,SA,SA,SA,SA,A,A,SA,A,SA,SA,SA,SA,A,SA,Male,56-60,,,,,,1
717,Contract Expired,12/2013,2010,2013,Teacher Aide,,North Queensland,,Temporary Part-time,False,False,False,0,0,0,0,False,False,0,False,False,False,False,False,0,0,False,A,1,1,1,A,SA,SA,SA,SA,SA,A,N,A,A,A,A,A,A,A,A,A,Female,36-40,,,,,,1
718,Resignation-Other reasons,12/2013,2000,2001,Teacher Aide,,Metropolitan,,Permanent Part-time,False,False,False,0,0,0,0,False,False,0,False,False,False,False,False,0,0,False,A,1,1,1,A,A,N,N,A,N,A,A,N,N,A,A,A,A,A,A,A,Female,51-55,,,,,,1
719,Age Retirement,10/2013,1992,2003,Public Servant,A01-A04,North Coast,,Permanent Full-time,False,False,False,0,0,0,0,False,False,0,False,False,True,False,False,0,0,False,A,0,1,0,A,D,D,D,A,D,D,SD,SD,SD,SD,D,SD,N,D,A,A,Female,61 or older,,,,,,1
720,Contract Expired,Not Stated,2013,2013,Technical Officer,,Central Office,Training and Tertiary Education Queensland,Temporary Full-time,False,False,False,0,0,0,0,False,False,0,False,False,False,False,False,0,0,False,A,1,1,1,A,A,A,A,A,A,A,A,N,N,N,A,A,A,A,A,N,Male,41-45,,,,,,1
721,Contract Expired,09/2013,2013,2013,Public Servant,A01-A04,Central Office,Information and Technologies,Casual,False,False,True,0,0,0,0,True,False,0,False,False,False,False,False,0,0,False,N,0,1,1,N,D,N,D,N,D,N,D,A,A,A,A,A,A,A,D,D,Male,26-30,,,,,,1
722,Contract Expired,09/2013,2013,2013,Public Servant,A01-A04,Central Office,Information and Technologies,Temporary Full-time,False,False,False,0,0,0,0,False,False,0,False,False,False,False,False,0,0,False,SA,0,0,0,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,A,SA,Male,31-35,,,,,Yes,0
723,Contract Expired,09/2013,2013,2013,Public Servant,A01-A04,Central Office,Information and Technologies,Casual,False,True,False,0,0,0,0,True,False,0,False,False,True,False,False,0,0,False,D,0,1,1,A,SA,A,SA,SA,SA,A,N,N,A,N,A,N,A,N,N,N,Male,21-25,,,,,,1
724,Contract Expired,09/2013,2013,2013,Public Servant,A01-A04,Central Office,Information and Technologies,Casual,False,False,False,0,0,0,0,False,False,0,False,False,False,False,False,0,0,True,A,0,1,1,N,A,A,A,A,A,N,,,N,,N,N,A,A,A,A,Male,51-55,,,,,,1
